TYPE=CAN-TRACE-ASCII V=2,0 MANREV=5,162 MANID=128 TTS=0,000001 COLS=9 RECCNT=5500 NEXTREC=1033 DATAFORMAT=I386 TRACETYPE=NET DISPLAYCFG=7 RINGBUFIDX=39 FIRSTREC=39 LASTREC=1032 
Recordindex	Network[Index]	Time	Type	Node	Network-Id	Frame-data	Parameter-Id	Description	Value
0	NCMAN	4033,381670	MAN_INF	0	6000	95FF0000000000000000 00 00	65429	ParRead_NoNetTraceUsed	0
1	NCMAN	4033,381896	MAN_INF	0	6000	98FF6251000000000000 00 00	65432	ACP_VERSION	0x5162
2	NCMAN	4033,381897	MAN_INF	0	6000	97FF6251000000000000 00 00	65431	MC_VERSION	0x5162
3	NCMAN	4033,381898	MAN_INF	0	6000	F303F3565DC480000000 00 00	1011	BRMOD_DATE_TIME	11:46:09,00 22,10,2021
4	NCMAN	4033,381898	MAN_INF	0	6000	CEFF0200000000000000 00 00	65486	NC_TASKCLASS	2
5	NCMAN	4033,381899	MAN_INF	0	6000	CDFF7017000000000000 00 00	65485	NC_TASKCLASS_CYCLE_TIME	6000
6	NCMAN	4033,381899	MAN_INF	0	6000	CCFF7017000000000000 00 00	65484	NC_TASKCLASS_TOLERANCE	6000
7	NCMAN	4033,381900	MAN_INF	0	6000	C9FF4234393100000000 00 00	65481	AR_VERSION	B491
8	NCMAN	4033,381901	MAN_INF	0	6000	CAFFE803000000000000 00 00	65482	AR_SYSTEM_TICK	1000
9	VIRT[0]	4034,356111	MAN_INF	1	10000000	770000007A4400000000 01 00	119	AXLIM_V_POS	1000
10	VIRT[0]	4034,356112	MAN_INF	1	10000000	780000007A4400000000 01 00	120	AXLIM_V_NEG	1000
11	VIRT[0]	4034,356113	MAN_INF	1	10000000	790000409C4500000000 01 00	121	AXLIM_A1_POS	5000
12	VIRT[0]	4034,356114	MAN_INF	1	10000000	7B0000409C4500000000 01 00	123	AXLIM_A1_NEG	5000
13	VIRT[0]	4034,356115	MAN_INF	1	10000000	7A0000409C4500000000 01 00	122	AXLIM_A2_POS	5000
14	VIRT[0]	4034,356116	MAN_INF	1	10000000	7C0000409C4500000000 01 00	124	AXLIM_A2_NEG	5000
15	VIRT[0]	4034,356117	MAN_INF	1	10000000	7D000000000000000000 01 00	125	AXLIM_T_JOLT	0
16	VIRT[0]	4034,356119	MAN_INF	1	10000000	80060000000000000000 01 00	1664	SGEN_MODE	0
17	VIRT[0]	4034,356121	MAN_INF	1	10000000	A003A08C000000000000 01 00	928	MODULO_PERIOD	36000
18	VIRT[0]	4034,356122	MAN_INF	1	10000000	80000100000000000000 01 00	128	SGEN_SW_END_IGNORE	1
19	VIRT[0]	4034,356160	MAN_INF	1	10000002	CFFF0100D0BEA2070000 01 00	65487	PLCopen_MC_AxisState	1
20	PLK[0]	4034,380316	MAN_INF	10	1006264	B7000EFAE80300000000 00 00	183	ERROR_REC	
20	PLK[0]	4034,380316	MAN_INF	10	1006264	B7000EFAE80300000000 00 00	180	ERROR_NUMBER	64014
20	PLK[0]	4034,380316	MAN_INF	10	1006264	B7000EFAE80300000000 00 00	181	ERROR_INFO	1000
21	PLK[0]	4034,380318	MAN_INF	11	1006265	B7000EFAE80300000000 00 00	183	ERROR_REC	
21	PLK[0]	4034,380318	MAN_INF	11	1006265	B7000EFAE80300000000 00 00	180	ERROR_NUMBER	64014
21	PLK[0]	4034,380318	MAN_INF	11	1006265	B7000EFAE80300000000 00 00	181	ERROR_INFO	1000
22	PLK[0]	4034,380319	MAN_INF	12	1006266	B7000EFAE80300000000 00 00	183	ERROR_REC	
22	PLK[0]	4034,380319	MAN_INF	12	1006266	B7000EFAE80300000000 00 00	180	ERROR_NUMBER	64014
22	PLK[0]	4034,380319	MAN_INF	12	1006266	B7000EFAE80300000000 00 00	181	ERROR_INFO	1000
23	PLK[0]	4034,380327	MAN_INF	0	1006000	A7FF0100000000000000 00 00	65447	MC_BROADCAST_EXTDAT	1
24	PLK[0]	4034,380343	MAN_INF	0	1006000	C7FF0200000000000000 00 00	65479	POWERLINK_VERSION	2
25	PLK[0]	4034,380348	MAN_INF	0	1006000	C6FF8E00000000000000 00 00	65478	POWERLINK_IF_FW_VERSION	142
26	PLK[0]	4034,380349	MAN_INF	0	1006000	C8FF2003000000000000 00 00	65480	POWERLINK_CYCLE_TIME	800
27	PLK[0]	4034,380349	MAN_INF	0	1006000	BBFF0800000000000000 00 00	65467	POWERLINK_MUX_PRESCALE	8
28	NCMAN	4034,380421	MAN_INF	0	6000	C4FF4100000000000000 00 00	65476	NCSYS_BRMOD_TYPE	0x41
29	NCMAN	4034,383452	MAN_INF	0	6000	EA03D42BB30000000000 00 00	1002	BRMOD_NCSYS	11742164
30	NCMAN	4034,383453	MAN_INF	0	6000	F2036251000000000000 00 00	1010	BRMOD_VERSION	0x5162
31	NCMAN	4034,383454	MAN_INF	0	6000	F303F3564A7400000000 00 00	1011	BRMOD_DATE_TIME	9:19:40,00 22,10,2021
32	PLK[0]	4034,415876	MAN_INF	10	1006010	BAFF0000000000000000 00 00	65466	POWERLINK_MUX_STATION	0
33	PLK[0]	4034,418930	MAN_INF	11	1006011	BAFF0000000000000000 00 00	65466	POWERLINK_MUX_STATION	0
